paper,nombre
http://dblp.l3s.de/d2r/resource/publications/conf/aina/TsuneizumiAIET11,Makoto_Ikeda|Makoto_Takizawa|Tomoya_Enokido
http://dblp.l3s.de/d2r/resource/publications/conf/aina/UmezakiSBIXT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/WangBKMIT13,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa|Qi_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/YangIMBDX10,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Tao_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/YangKBMT13,Leonard_Barolli|Makoto_Takizawa|Tao_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/YangMSBDX11,Fatos_Xhafa|Leonard_Barolli|Tao_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/YangOBIDX12,Fatos_Xhafa|Leonard_Barolli|Tao_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/ZhouCZZY12,Jiannong_Cao|Jie_Zhou|Jun_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/aipr/ChenWHWA08,Jin_Wang|Lu_Wang|Yu_Chen
http://dblp.l3s.de/d2r/resource/publications/conf/airs/GurrinSBOJO08,Alan_F._Smeaton|Gareth_J._F._Jones|Noel_E._O'Connor
http://dblp.l3s.de/d2r/resource/publications/conf/airs/LiuXTM04,Hao_Liu|Wei-Ying_Ma|Xiaoou_Tang
http://dblp.l3s.de/d2r/resource/publications/conf/airs/LuLLZXCYM04,Shuicheng_Yan|Wei-Ying_Ma|Zheng_Chen
http://dblp.l3s.de/d2r/resource/publications/conf/airs/ZhaoLYLZ06,Sheng_Li|Ting_Liu|Yu_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/amt/RenZQZHWW10,Cong_Wang|Ning_Zhong_0001|Yan_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/amt/ZengWHDZW10,Cong_Wang|Ning_Zhong_0001|Yan_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/ancs/LiWLLWWZD12,Hao_Wu|Jun_Li|Xin_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/ancs/WangQDWLL17,Bin_Liu|Hao_Wu|Yi_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/aose/ZambonelliJW00,Franco_Zambonelli|Michael_Wooldridge|Nicholas_R._Jennings
http://dblp.l3s.de/d2r/resource/publications/conf/apscc/WuDWLKY08,Bin_Wu|Jian_Wu|Ying_Li
http://dblp.l3s.de/d2r/resource/publications/conf/apsec/LiWWLL07,Feng_Wang|Gang_Wang|Jing_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/apsec/WangZJJ13,Gang_Wang|Li_Zhang|Wei_Jiang
http://dblp.l3s.de/d2r/resource/publications/conf/apweb/ChenZLL05,Jing_Chen|Qing_Li|Xiaoming_Li
http://dblp.l3s.de/d2r/resource/publications/conf/apweb/LiWLHDCXWLLJTGZWJ05,Aoying_Zhou|Minglu_Li|Ying_Li
http://dblp.l3s.de/d2r/resource/publications/conf/apweb/XiaoWLZ03,Aoying_Zhou|Min_Li|Qing_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/arcs/BeckerBBHKKWW06,Heinz_Wörn|Jörg_Henkel|Jürgen_Becker
http://dblp.l3s.de/d2r/resource/publications/conf/asap/TeichTZ96,Jürgen_Teich|Li_Zhang|Lothar_Thiele
http://dblp.l3s.de/d2r/resource/publications/conf/asap/XieLKVI04,Mahmut_T._Kandemir|Mary_Jane_Irwin|Yuan_Xie_0001
http://dblp.l3s.de/d2r/resource/publications/conf/asicon/ChenZWYLWF13,Hui_Wang|Ning_Wang|Qi_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/asicon/DingZWYLWF13,Hui_Wang|Ning_Wang|Qi_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/aspdac/HowardRPB11,Bernd_Becker_0001|Irith_Pomeranz|Sudhakar_M._Reddy
http://dblp.l3s.de/d2r/resource/publications/conf/aspdac/JiangZPC08,Jason_Cong|Miodrag_Potkonjak|Wei_Jiang
http://dblp.l3s.de/d2r/resource/publications/conf/aspdac/YangCDRP09,Fan_Yang|Irith_Pomeranz|Sudhakar_M._Reddy
http://dblp.l3s.de/d2r/resource/publications/conf/aspdac/YiZTWLSX16,Edwin_Hsing-Mean_Sha|Qian_Zhang|Ting_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/asru/SaktiKPHSNPWXRALL09,Bo_Xu|Haizhou_Li|Satoshi_Nakamura
http://dblp.l3s.de/d2r/resource/publications/conf/asru/ZhangLL11,Chao_Zhang|Chin-Hui_Lee|Yi_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/asscc/YuCLCWH12,Hao_Chen|Jian_Wang|Rui_Li
http://dblp.l3s.de/d2r/resource/publications/conf/aswc/DengLXWW06,Jian_Wu|Ying_Li|Zhaohui_Wu
http://dblp.l3s.de/d2r/resource/publications/conf/atal/JiangYZTK13,Chao_Zhang|Milind_Tambe|Sarit_Kraus
http://dblp.l3s.de/d2r/resource/publications/conf/atal/XuHLLY14,Dong_Li|Yan_Li|Yang_Xu
http://dblp.l3s.de/d2r/resource/publications/conf/ausai/YangYLPPLLQ05,Lei_Li|Qiang_Yang_0001|Wei_Lu
http://dblp.l3s.de/d2r/resource/publications/conf/avbpa/FanWT05,Tieniu_Tan|Wei_Fan|Yunhong_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/avbpa/WangTJ03,Anil_K._Jain|Tieniu_Tan|Yunhong_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/bibm/GuLZLJLCW14,Jian_Li|Qi_Zhang|Qiang_Li
http://dblp.l3s.de/d2r/resource/publications/conf/bibm/YangWSCZWZZG16,Jian_Yang|Jing_Wang|Yi_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/bics/WangZLYDXQ12,Jian_Wang|Peng_Li|Yong_Yu
http://dblp.l3s.de/d2r/resource/publications/conf/bigdataconf/LiuWYG16,Bin_Wu|Chang_Liu|Yi_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/bigdataconf/TousGTTGALBCV15,Eduard_Ayguadé|Jesús_Labarta|Mateo_Valero
http://dblp.l3s.de/d2r/resource/publications/conf/bigmm/WangZZL15,Chao_Wang|Jing_Zhang|Xin_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/bmei/ChenLPYLLF12,Liang_Chen|Yan_Li|Yang_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/bmei/ChenZWLKYHL11,Xiaodong_Wang|Yi_Li|Ying_Chen
http://dblp.l3s.de/d2r/resource/publications/conf/bmei/LiWZCZ14,Dan_Wang|Wei_Chen|Xin_Li
http://dblp.l3s.de/d2r/resource/publications/conf/bmei/WangWLLW11,Hui_Li|Ning_Wang|Yang_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/bmei/YangCWWL12,Ning_Li|Rui_Wang|Wei_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/bmsb/LiLIZ12,Hong_Liu|Liang_Zhang|Wei_Li
http://dblp.l3s.de/d2r/resource/publications/conf/bmsb/LiWZSLHWGZMAVPL16,Liang_Zhang|Wei_Li|Yao_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/bmvc/WangCG10,Qi_Wang|Wen_Gao_0001|Xilin_Chen
http://dblp.l3s.de/d2r/resource/publications/conf/bpm/AalstAM11,Ernesto_Damiani|Jan_Mendling|Schahram_Dustdar|Wil_M._P._van_der_Aalst
http://dblp.l3s.de/d2r/resource/publications/conf/brain/LiLWMZZ14,Jing_Wang|Mengjie_Zhang|Ning_Zhong_0001
